نوع البطولة,الفريق الاول,الفريق الثاني,ميعاد المباراة,النتيجة
يورو 2024,ألمانيا,إسكتلندا,22:00,5 - 1
الدوري المصري,فاركو,الأهلي,19:00,1 - 2
الدوري المصري,سيراميكا كليوباترا,الزمالك,19:00,1 - 2
الدوري المغربي,الجيش الملكي,الفتح الرباطي,20:00,2 - 0
الدوري المغربي,مولودية وجدة,الرجاء البيضاوي,20:00,0 - 3
الدوري المغربي,اتحاد طنجة,شباب المحمدية,20:00,0 - 0
الدوري المغربي,المغرب الفاسي,أولمبيك آسفي,20:00,0 - 1
الدوري المغربي,الاتحاد التوركي,حسنية اغادير,20:00,3 - 3
الدوري المغربي,الوداد البيضاوي,المغرب التطواني,20:00,1 - 0
الدوري المغربي,يوسفية برشيد,الشباب الرياضي السالمي,20:00,2 - 3
الدوري التونسي,الملعب التونسي,الافريقي التونسي,18:30,1 - 1
الدوري التونسي,قوافل قفصة,الأولمبي الباجي,18:30,1 - 2
الدوري التونسي,إتحاد بن قردان,مستقبل المرسى,18:30,1 - 2
الدوري التونسي,سليمان الرياضي,النجم الرياضي بالمتلوي,18:30,2 - 2
الدوري التونسي,البنزرتي,اتحاد تطاوين,18:30,2 - 0
